,Year,Comm. Code,Weight (kg),Quantity
8876,2021,291830,3862002.344,3862002.344
8878,2021,291899,6668669.074,6668669.074
8880,2021,291990,,
8882,2021,292019,171532.273,171532.273
8886,2021,292023,,
8890,2021,292029,5894306.154,5894306.154
8891,2021,292090,59856204.909,59856204.909
8893,2021,292111,807489.78,807489.78
8895,2021,292112,,
8897,2021,292113,,53.425
8899,2021,292119,9894905.688,9894905.688
8902,2021,292121,36112032.378,36112032.378
8903,2021,292122,42730576.0,42730576.0
8905,2021,292129,41408411.72,41408411.72
8907,2021,292130,10136756.966,10136756.966
8909,2021,292141,485921.738,485921.738
8912,2021,292142,11210833.314,11210833.314
8913,2021,292143,7109355.047,7109355.047
8915,2021,292144,314326.941,314326.941
8917,2021,292145,377665.373,377665.373
8919,2021,292146,19.22,19.22
8920,2021,292149,7953815.79,7953815.79
8922,2021,292151,8984359.665,8984359.665
8924,2021,292159,8867419.721,8867419.721
8926,2021,292211,22763382.071,22763382.071
8928,2021,292212,93345888.929,93345888.929
8930,2021,292214,,50.737
8931,2021,292215,44519833.0,44519833.0
8933,2021,292217,201600.0,201600.0
8935,2021,292219,27876964.823,27876964.823
8938,2021,292221,513146.368,513146.368
8939,2021,292229,2652460.867,2652460.867
8941,2021,292231,2.893,2.893
8942,2021,292239,155240.006,155240.006
8944,2021,292241,896927.674,896927.674
8946,2021,292242,212914.551,212914.551
8948,2021,292243,9568.145,9568.145
8950,2021,292244,,3.318
8951,2021,292249,16220237.887,16220237.887
8953,2021,292250,1281134.513,1281134.513
8955,2021,292310,160657.019,160657.019
8957,2021,292320,9511771.709,9511771.709
8959,2021,292390,24658672.538,24658672.538
8962,2021,292419,,
8964,2021,292421,571371.259,571371.259
8966,2021,292423,5.276,5.276
8969,2021,292429,7492912.916,7492912.916
8971,2021,292511,109224.669,109224.669
8973,2021,292519,1219634.894,1219634.894
8975,2021,292529,5797562.786,5797562.786
8977,2021,292610,203774176.485,203774176.485
8979,2021,292620,824508.729,824508.729
8981,2021,292640,1.0,1.0
8983,2021,292690,272191896.112,272191896.112
8985,2021,292700,1913477.114,1913477.114
8987,2021,292800,3997878.29,3997878.29
8989,2021,292910,111875982.206,111875982.206
8991,2021,292990,390212.042,390212.042
8993,2021,293020,373467.472,373467.472
8995,2021,293030,38443.564,38443.564
8997,2021,293040,204191676.637,204191676.637
8999,2021,293060,,69.725
9002,2021,293090,,
9004,2021,293120,9680.0,9680.0
9008,2021,293135,385.0,385.0
9009,2021,293139,3152744.299,3152744.299
9011,2021,293190,23244073.559,23244073.559
9013,2021,293211,13853428.335,13853428.335
9015,2021,293212,26952.959,26952.959
9017,2021,293213,346526.831,346526.831
9019,2021,293214,129286.237,129286.237
9021,2021,293219,1176907.07,1176907.07
9023,2021,293220,4399994.477,4399994.477
9025,2021,293293,1226.0,1226.0
9027,2021,293295,,0.711
9028,2021,293299,7620129.235,7620129.235
9030,2021,293311,27993.369,27993.369
9032,2021,293319,888153.053,888153.053
9034,2021,293321,427328.368,427328.368
9036,2021,293329,3529870.741,3529870.741
9038,2021,293331,1020990.203,1020990.203
9040,2021,293332,417007.296,417007.296
9042,2021,293333,,11.249
9044,2021,293339,15697541.546,15697541.546
9046,2021,293349,1749144.884,1749144.884
9048,2021,293352,100.722,100.722
9050,2021,293353,3.105,3.105
9052,2021,293354,2153.017,2153.017
9054,2021,293355,,0.025
9055,2021,293359,9976036.102,9976036.102
9057,2021,293361,799797.187,799797.187
9059,2021,293369,12845368.53,12845368.53
9061,2021,293371,105777935.297,105777935.297
9063,2021,293372,,1.049
9064,2021,293379,19920403.628,19920403.628
9066,2021,293391,,13.84
9068,2021,293399,17097759.091,17097759.091
9070,2021,293410,624812.642,624812.642
9072,2021,293420,,
9074,2021,293430,2881139.177,2881139.177
9076,2021,293491,,4.748
9077,2021,293499,19417368.611,19417368.611
9079,2021,293550,,2.069
9081,2021,293590,4349201.156,4349201.156
9083,2021,293621,1361256.386,1361256.386
9085,2021,293622,93041.428,93041.428
9087,2021,293623,838712.727,838712.727
9089,2021,293624,729743.381,729743.381
9091,2021,293625,29237.333,29237.333
9093,2021,293626,38382.354,38382.354
9095,2021,293627,88321.985,88321.985
9097,2021,293628,2094803.438,2094803.438
9099,2021,293629,2050637.171,2050637.171
9101,2021,293690,174126.354,174126.354
9103,2021,293711,,4.042
9104,2021,293712,5388.992,5388.992
9106,2021,293719,,189.099
9108,2021,293721,18.257,18.257
9110,2021,293722,257.477,257.477
9112,2021,293723,403.23,403.23
9114,2021,293729,4345.136,4345.136
9116,2021,293750,1503.529,1503.529
9118,2021,293790,,90.737
9120,2021,293810,134300.0,134300.0
9122,2021,293890,10498420.056,10498420.056
9124,2021,293911,2224.058,2224.058
9126,2021,293919,14266.335,14266.335
9128,2021,293920,41447.0,41447.0
9130,2021,293930,208.815,208.815
9134,2021,293959,1003.042,1003.042
9138,2021,293969,506.044,506.044
9140,2021,293971,17.233,17.233
9141,2021,293979,1914.744,1914.744
9143,2021,293980,1505.132,1505.132
9145,2021,294000,10121166.437,10121166.437
9147,2021,294110,157137.767,157137.767
9150,2021,294130,18514.669,18514.669
9152,2021,294140,4500.0,4500.0
9154,2021,294150,7026.168,7026.168
9156,2021,294190,450871.729,450871.729
9158,2021,294200,1588205.442,1588205.442
9349,2020,290110,679207209.883,679207209.883
9352,2020,290121,1977872854.814,1977872854.814
9354,2020,290122,2506875211.0,2506875211.0
9355,2020,290123,,
9358,2020,290124,462076601.518,462076601.518
9359,2020,290129,110788830.114,110788830.114
9362,2020,290211,142944.118,142944.118
9363,2020,290219,28795338.523,28795338.523
9366,2020,290220,2097891348.136,2097891348.136
9368,2020,290230,452358493.687,452358493.687
9370,2020,290241,187456266.001,187456266.001
9371,2020,290242,23832582.785,23832582.785
9373,2020,290243,13860843849.931,13860843849.931
9376,2020,290244,2085081.848,2085081.848
9378,2020,290250,2830394547.095,2830394547.095
9380,2020,290260,5001592.705,5001592.705
9382,2020,290270,524954327.384,524954327.384
9383,2020,290290,36398121.211,36398121.211
9386,2020,290311,20059.325,20059.325
9388,2020,290312,68573.964,68573.964
9390,2020,290313,4009623.113,4009623.113
9393,2020,290315,398214872.069,398214872.069
9394,2020,290319,2547652.487,2547652.487
9397,2020,290321,955092920.0,955092920.0
9399,2020,290322,16106778.974,16106778.974
9401,2020,290323,50868679.805,50868679.805
9402,2020,290329,48096.91,48096.91
9404,2020,290339,2768450.041,2768450.041
9408,2020,290372,73956.0,73956.0
9410,2020,290376,14.202,14.202
9412,2020,290377,20042.479,20042.479
9413,2020,290378,252651.075,252651.075
9415,2020,290379,299322.156,299322.156
9417,2020,290381,,
9418,2020,290389,5038749.107,5038749.107
9421,2020,290391,726640.7,726640.7
9422,2020,290399,14041529.196,14041529.196
9424,2020,290410,,
9426,2020,290420,15057542.463,15057542.463
9429,2020,290499,5815606.574,5815606.574
9432,2020,290511,12945371785.456,12945371785.456
9434,2020,290512,89506670.729,89506670.729
9436,2020,290513,272235388.063,272235388.063
9437,2020,290514,78487649.016,78487649.016
9439,2020,290516,,
9441,2020,290517,47133845.127,47133845.127
9444,2020,290519,215406547.828,215406547.828
9445,2020,290522,1453003.675,1453003.675
9447,2020,290529,202001823.785,202001823.785
9449,2020,290531,10547933666.907,10547933666.907
9451,2020,290532,,
9453,2020,290539,228525588.752,228525588.752
9456,2020,290541,4763624.725,4763624.725
9458,2020,290542,3896889.016,3896889.016
9459,2020,290543,615014.851,615014.851
9461,2020,290544,2023303.134,2023303.134
9463,2020,290545,,
9466,2020,290549,3460274.383,3460274.383
9467,2020,290559,597811.276,597811.276
9469,2020,290611,15651169.462,15651169.462
9471,2020,290612,19355.173,19355.173
9473,2020,290613,1055077.438,1055077.438
